1.99711027332705, 4, yellow, Entry
2.0969657869934024, 2, orange, Entry
2.13025095821552, 4, yellow, Exit
2.13025095821552, 2, yellow, Entry
2.862524725102105, 2, white, Entry
5.625193936537857, 4, white, Entry
9.086851743638078, 4, green, Entry
9.253277599748666, 4, green, Exit
9.253277599748666, 2, green, Entry
12.015946811184417, 4, orange, Entry
12.848076091737356, 4, orange, Entry
15.943597015394284, 4, white, Entry
18.206988658498272, 2, green, Exit
18.206988658498272, 4, green, Entry
18.206988658498272, 4, white, Entry
20.969657869934025, 4, orange, Entry
21.036228212378262, 4, orange, Entry
23.233049513038015, 4, white, Entry
23.69904191014766, 2, white, Entry
26.628136977694002, 4, orange, Entry
26.761277662582472, 4, orange, Entry
26.861133176248824, 4, orange, Entry
26.927703518693058, 4, orange, Entry
27.19398488847, 4, orange, Exit
27.19398488847, 3, orange, Entry
27.892973484134465, 3, orange, Entry
27.959543826578702, 3, orange, Entry
27.992828997800817, 3, orange, Exit
27.992828997800817, 4, orange, Entry
32.88574916745209, 4, green, Entry
33.15203053722903, 4, green, Exit
33.15203053722903, 2, green, Entry
35.9479849198869, 4, yellow, Entry
46.665810053408734, 2, green, Exit
46.665810053408734, 4, green, Entry
48.66292032673579, 4, yellow, Entry
48.66292032673579, 4, orange, Entry
48.79606101162425, 2, orange, Entry
48.82934618284637, 4, yellow, Exit
48.82934618284637, 2, yellow, Entry
51.758441250392714, 4, orange, Entry
51.82501159283695, 4, orange, Entry
54.787391831605404, 4, green, Entry
54.953817687716, 4, green, Exit
54.953817687716, 2, green, Entry
55.353239742381405, 2, green, Exit
55.353239742381405, 4, green, Entry
55.353239742381405, 4, orange, Entry
55.45309525604776, 2, white, Exit
55.45309525604776, 4, white, Entry
56.21865419415646, 4, white, Entry
56.35179487904493, 4, green, Entry
56.518220735155516, 4, green, Exit
56.518220735155516, 2, green, Entry
56.78450210493246, 2, white, Entry
57.183924159597865, 2, white, Exit
57.183924159597865, 4, white, Entry
57.41692035815269, 4, white, Entry
60.27944508325479, 4, white, Exit
60.27944508325479, 3, white, Entry
60.31273025447691, 3, white, Exit
60.31273025447691, 4, white, Entry
60.57901162425385, 4, white, Exit
60.57901162425385, 3, white, Entry
60.84529299403079, 3, white, Exit
60.84529299403079, 4, white, Entry
62.010273986804904, 4, white, Exit
62.010273986804904, 3, white, Entry
62.04355915802702, 3, white, Exit
62.04355915802702, 4, white, Entry
62.24327018535973, 4, white, Exit
62.24327018535973, 3, white, Entry
62.34312569902608, 3, white, Exit
62.34312569902608, 4, white, Entry
62.576121897580904, 4, white, Exit
62.576121897580904, 3, white, Entry
62.642692240025134, 3, white, Exit
62.642692240025134, 4, white, Entry
62.67597741124725, 4, white, Exit
62.67597741124725, 3, white, Entry
63.1419698083569, 3, white, Exit
63.1419698083569, 4, white, Entry
63.175254979579016, 4, white, Exit
63.175254979579016, 3, white, Entry
63.94081391768772, 4, orange, Entry
64.90608388312913, 2, green, Exit
64.90608388312913, 4, green, Entry
65.60507247879359, 3, white, Entry
66.53705727301289, 2, white, Entry
66.60362761545711, 2, yellow, Exit
66.60362761545711, 1, yellow, Entry
66.63691278667923, 1, yellow, Exit
66.63691278667923, 2, yellow, Entry
66.7700534715677, 2, yellow, Exit
66.7700534715677, 4, yellow, Entry
66.80333864278983, 4, orange, Entry
69.399581998115, 4, yellow, Entry
72.2621067232171, 2, white, Entry
73.85979494187873, 4, yellow, Entry
75.35762764687402, 4, green, Entry
75.55733867420673, 4, green, Exit
75.55733867420673, 3, green, Entry
75.72376453031731, 3, green, Exit
75.72376453031731, 4, green, Entry
75.75704970153943, 4, green, Exit
75.75704970153943, 3, green, Entry
75.8901903864279, 3, green, Exit
75.8901903864279, 4, green, Entry
75.99004590009426, 4, green, Exit
75.99004590009426, 3, green, Entry
76.08990141376061, 3, green, Exit
76.08990141376061, 4, green, Entry
76.15647175620484, 4, green, Exit
76.15647175620484, 3, green, Entry
77.35473792020107, 4, orange, Entry
77.48787860508955, 4, orange, Exit
77.48787860508955, 2, orange, Entry
85.07689764373234, 3, green, Entry
85.11018281495446, 3, green, Exit
85.11018281495446, 4, green, Entry
86.20859346528432, 4, orange, Entry
87.34028928683632, 2, white, Entry
89.80339195727302, 4, orange, Entry
90.93508777882501, 4, white, Entry
92.03349842915489, 4, white, Entry
92.33306497015394, 4, white, Entry
92.46620565504242, 4, white, Entry
93.09862390826265, 2, white, Entry
93.19847942192901, 4, orange, Entry
93.49804596292806, 4, orange, Entry
94.330175243481, 2, white, Exit
94.330175243481, 4, white, Entry
94.330175243481, 4, orange, Entry
94.66302695570218, 4, white, Entry
94.86273798303488, 4, white, Exit
94.86273798303488, 2, white, Entry
94.96259349670123, 4, white, Entry
95.06244901036759, 4, white, Entry
95.26216003770028, 4, white, Entry
95.76143760603205, 4, white, Entry
95.82800794847628, 4, white, Entry
95.96114863336476, 4, white, Entry
97.85840339302545, 4, green, Entry
98.02482924913605, 4, green, Exit
98.02482924913605, 2, green, Entry
98.22454027646874, 4, white, Exit
98.22454027646874, 2, white, Entry
98.69053267357839, 2, white, Exit
98.69053267357839, 4, white, Entry
99.42280644046498, 4, yellow, Entry
99.55594712535344, 2, orange, Entry
99.58923229657556, 4, yellow, Exit
99.58923229657556, 2, yellow, Entry
99.72237298146403, 2, white, Entry
100.38807640590639, 4, orange, Entry
100.58778743323909, 4, orange, Entry
100.6210726044612, 2, white, Exit
100.6210726044612, 4, white, Entry
